('Cycle: ', 198, 'Tile halt list', [1, 0, 0])
('Cycle: ', 199, 'Tile halt list', [1, 0, 0])
('Cycle: ', 200, 'Tile halt list', [1, 0, 0])
('Cycle: ', 201, 'Tile halt list', [1, 0, 0])
('Cycle: ', 202, 'Tile halt list', [1, 0, 0])
('Cycle: ', 203, 'Tile halt list', [1, 0, 0])
('Cycle: ', 204, 'Tile halt list', [1, 0, 0])
('Cycle: ', 205, 'Tile halt list', [1, 0, 0])
('Cycle: ', 206, 'Tile halt list', [1, 0, 0])
('Cycle: ', 207, 'Tile halt list', [1, 0, 0])
('Cycle: ', 208, 'Tile halt list', [1, 0, 0])
('Cycle: ', 209, 'Tile halt list', [1, 0, 0])
('Cycle: ', 210, 'Tile halt list', [1, 0, 0])
('Cycle: ', 211, 'Tile halt list', [1, 0, 0])
('Cycle: ', 212, 'Tile halt list', [1, 0, 0])
('Cycle: ', 213, 'Tile halt list', [1, 0, 0])
('Cycle: ', 214, 'Tile halt list', [1, 0, 0])
('Cycle: ', 215, 'Tile halt list', [1, 0, 0])
('Cycle: ', 216, 'Tile halt list', [1, 0, 0])
('Cycle: ', 217, 'Tile halt list', [1, 0, 0])
('Cycle: ', 218, 'Tile halt list', [1, 0, 0])
('Cycle: ', 219, 'Tile halt list', [1, 0, 0])
('Cycle: ', 220, 'Tile halt list', [1, 0, 0])
('Cycle: ', 221, 'Tile halt list', [1, 0, 0])
('Cycle: ', 222, 'Tile halt list', [1, 0, 0])
('Cycle: ', 223, 'Tile halt list', [1, 0, 0])
('Cycle: ', 224, 'Tile halt list', [1, 0, 0])
('Cycle: ', 225, 'Tile halt list', [1, 0, 0])
('Cycle: ', 226, 'Tile halt list', [1, 0, 0])
('Cycle: ', 227, 'Tile halt list', [1, 0, 0])
('Cycle: ', 228, 'Tile halt list', [1, 0, 0])
('Cycle: ', 229, 'Tile halt list', [1, 0, 0])
('Cycle: ', 230, 'Tile halt list', [1, 0, 0])
('Cycle: ', 231, 'Tile halt list', [1, 0, 0])
('Cycle: ', 232, 'Tile halt list', [1, 0, 0])
('Cycle: ', 233, 'Tile halt list', [1, 0, 0])
('Cycle: ', 234, 'Tile halt list', [1, 0, 0])
('Cycle: ', 235, 'Tile halt list', [1, 0, 0])
('Cycle: ', 236, 'Tile halt list', [1, 0, 0])
('Cycle: ', 237, 'Tile halt list', [1, 0, 0])
('Cycle: ', 238, 'Tile halt list', [1, 0, 0])
('Cycle: ', 239, 'Tile halt list', [1, 0, 0])
('Cycle: ', 240, 'Tile halt list', [1, 0, 0])
('Cycle: ', 241, 'Tile halt list', [1, 0, 0])
('Cycle: ', 242, 'Tile halt list', [1, 0, 0])
('Cycle: ', 243, 'Tile halt list', [1, 0, 0])
('Cycle: ', 244, 'Tile halt list', [1, 0, 0])
('Cycle: ', 245, 'Tile halt list', [1, 0, 0])
('Cycle: ', 246, 'Tile halt list', [1, 0, 0])
('Cycle: ', 247, 'Tile halt list', [1, 0, 0])
('Cycle: ', 248, 'Tile halt list', [1, 0, 0])
('Cycle: ', 249, 'Tile halt list', [1, 0, 0])
('Cycle: ', 250, 'Tile halt list', [1, 0, 0])
('Cycle: ', 251, 'Tile halt list', [1, 0, 0])
('Cycle: ', 252, 'Tile halt list', [1, 0, 0])
('Cycle: ', 253, 'Tile halt list', [1, 0, 0])
('Cycle: ', 254, 'Tile halt list', [1, 0, 0])
('Cycle: ', 255, 'Tile halt list', [1, 0, 0])
('Cycle: ', 256, 'Tile halt list', [1, 0, 0])
('Cycle: ', 257, 'Tile halt list', [1, 0, 0])
('Cycle: ', 258, 'Tile halt list', [1, 0, 0])
('Cycle: ', 259, 'Tile halt list', [1, 0, 0])
('Cycle: ', 260, 'Tile halt list', [1, 0, 0])
('Cycle: ', 261, 'Tile halt list', [1, 0, 0])
('Cycle: ', 262, 'Tile halt list', [1, 0, 0])
('Cycle: ', 263, 'Tile halt list', [1, 0, 0])
('Cycle: ', 264, 'Tile halt list', [1, 0, 0])
('Cycle: ', 265, 'Tile halt list', [1, 0, 0])
('Cycle: ', 266, 'Tile halt list', [1, 0, 0])
('Cycle: ', 267, 'Tile halt list', [1, 0, 0])
('Cycle: ', 268, 'Tile halt list', [1, 0, 0])
('Cycle: ', 269, 'Tile halt list', [1, 0, 0])
('Cycle: ', 270, 'Tile halt list', [1, 0, 0])
('Cycle: ', 271, 'Tile halt list', [1, 0, 0])
('Cycle: ', 272, 'Tile halt list', [1, 0, 0])
('Cycle: ', 273, 'Tile halt list', [1, 0, 0])
('Cycle: ', 274, 'Tile halt list', [1, 0, 0])
('Cycle: ', 275, 'Tile halt list', [1, 0, 0])
('Cycle: ', 276, 'Tile halt list', [1, 0, 0])
('Cycle: ', 277, 'Tile halt list', [1, 0, 0])
('Cycle: ', 278, 'Tile halt list', [1, 0, 0])
('Cycle: ', 279, 'Tile halt list', [1, 0, 0])
('Cycle: ', 280, 'Tile halt list', [1, 0, 0])
('Cycle: ', 281, 'Tile halt list', [1, 0, 0])
('Cycle: ', 282, 'Tile halt list', [1, 0, 0])
('Cycle: ', 283, 'Tile halt list', [1, 0, 0])
('Cycle: ', 284, 'Tile halt list', [1, 0, 0])
('Cycle: ', 285, 'Tile halt list', [1, 0, 0])
('Cycle: ', 286, 'Tile halt list', [1, 0, 0])
('Cycle: ', 287, 'Tile halt list', [1, 0, 0])
('Cycle: ', 288, 'Tile halt list', [1, 0, 0])
('Cycle: ', 289, 'Tile halt list', [1, 0, 0])
('Cycle: ', 290, 'Tile halt list', [1, 0, 0])
('Cycle: ', 291, 'Tile halt list', [1, 0, 0])
('Cycle: ', 292, 'Tile halt list', [1, 0, 0])
('Cycle: ', 293, 'Tile halt list', [1, 0, 0])
('Cycle: ', 294, 'Tile halt list', [1, 0, 0])
('Cycle: ', 295, 'Tile halt list', [1, 0, 0])
('Cycle: ', 296, 'Tile halt list', [1, 0, 0])
('Cycle: ', 297, 'Tile halt list', [1, 0, 0])
('Cycle: ', 298, 'Tile halt list', [1, 0, 0])
('Cycle: ', 299, 'Tile halt list', [1, 0, 0])
('Cycle: ', 300, 'Tile halt list', [1, 0, 0])
('Cycle: ', 301, 'Tile halt list', [1, 0, 0])
('Cycle: ', 302, 'Tile halt list', [1, 0, 0])
('Cycle: ', 303, 'Tile halt list', [1, 0, 0])
('Cycle: ', 304, 'Tile halt list', [1, 0, 0])
('Cycle: ', 305, 'Tile halt list', [1, 0, 0])
('Cycle: ', 306, 'Tile halt list', [1, 0, 0])
('Cycle: ', 307, 'Tile halt list', [1, 0, 0])
('Cycle: ', 308, 'Tile halt list', [1, 0, 0])
('Cycle: ', 309, 'Tile halt list', [1, 0, 0])
('Cycle: ', 310, 'Tile halt list', [1, 0, 0])
('Cycle: ', 311, 'Tile halt list', [1, 0, 0])
('Cycle: ', 312, 'Tile halt list', [1, 0, 0])
('Cycle: ', 313, 'Tile halt list', [1, 0, 0])
('Cycle: ', 314, 'Tile halt list', [1, 0, 0])
('Cycle: ', 315, 'Tile halt list', [1, 0, 0])
('Cycle: ', 316, 'Tile halt list', [1, 0, 0])
('Cycle: ', 317, 'Tile halt list', [1, 0, 0])
('Cycle: ', 318, 'Tile halt list', [1, 0, 0])
('Cycle: ', 319, 'Tile halt list', [1, 0, 0])
('Cycle: ', 320, 'Tile halt list', [1, 0, 0])
('Cycle: ', 321, 'Tile halt list', [1, 0, 0])
('Cycle: ', 322, 'Tile halt list', [1, 0, 0])
('Cycle: ', 323, 'Tile halt list', [1, 0, 0])
('Cycle: ', 324, 'Tile halt list', [1, 0, 0])
('Cycle: ', 325, 'Tile halt list', [1, 0, 0])
('Cycle: ', 326, 'Tile halt list', [1, 0, 0])
('Cycle: ', 327, 'Tile halt list', [1, 0, 0])
